"/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=1) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=1) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=2) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=2) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=3) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=3) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=4) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=4) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=5) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=5) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=6) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=6) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=7) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=7) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=8) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=8) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=9) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=9) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=10) X","/Q (modelFiles=ts18sl_scl_mat.lib:ff_18,mcparamset=10) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=1) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=1) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=2) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=2) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=3) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=3) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=4) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=4) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=5) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=5) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=6) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=6) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=7) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=7) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=8) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=8) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=9) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=9) Y","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=10) X","/Q (modelFiles=ts18sl_scl_mat.lib:fs_18,mcparamset=10) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=1) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=1) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=2) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=2) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=3) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=3) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=4) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=4) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=5) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=5) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=6) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=6) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=7) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=7) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=8) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=8) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=9) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=9) Y","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=10) X","/Q (modelFiles=ts18sl_scl_mat.lib:sf_18,mcparamset=10) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=1) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=1) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=2) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=2) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=3) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=3) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=4) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=4) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=5) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=5) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=6) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=6) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=7) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=7) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=8) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=8) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=9) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=9) Y","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=10) X","/Q (modelFiles=ts18sl_scl_mat.lib:ss_18,mcparamset=10) Y"
0,1.79999951,0,1.79999962,0,1.799999804,0,1.799999411,0,1.799999644,0,1.799999571,0,1.799999729,0,1.799999537,0,1.799999713,0,1.799999297,0,1.799999813,0,1.799999845,0,1.799999897,0,1.799999785,0,1.79999985,0,1.799999831,0,1.799999875,0,1.79999982,0,1.799999872,0,1.799999751,0,1.799999948,0,1.79999995,0,1.799999951,0,1.799999947,0,1.799999949,0,1.799999949,0,1.79999995,0,1.799999948,0,1.799999951,0,1.799999944,0,1.799999929,0,1.799999931,0,1.79999993,0,1.799999928,0,1.799999928,0,1.79999993,0,1.799999929,0,1.799999929,0,1.799999931,0,1.799999927
0.036,1.79999848,0.036,1.799998838,0.036,1.79999945,0.036,1.799998158,0.036,1.799998923,0.036,1.799998678,0.036,1.799999202,0.036,1.799998569,0.036,1.799999146,0.036,1.799997786,0.036,1.799999516,0.036,1.799999621,0.036,1.799999794,0.036,1.799999422,0.036,1.799999642,0.036,1.799999574,0.036,1.799999723,0.036,1.799999541,0.036,1.799999709,0.036,1.799999312,0.036,1.799999934,0.036,1.799999939,0.036,1.799999946,0.036,1.799999929,0.036,1.799999938,0.036,1.799999937,0.036,1.799999943,0.036,1.799999934,0.036,1.799999943,0.036,1.799999924,0.036,1.799999922,0.036,1.799999925,0.036,1.799999927,0.036,1.79999992,0.036,1.799999923,0.036,1.799999924,0.036,1.799999925,0.036,1.799999922,0.036,1.799999926,0.036,1.799999917
0.072,1.799995139,0.072,1.799996293,0.072,1.799998283,0.072,1.799994105,0.072,1.799996569,0.072,1.799995777,0.072,1.799997474,0.072,1.799995426,0.072,1.799997293,0.072,1.799992914,0.072,1.799998536,0.072,1.799998879,0.072,1.799999457,0.072,1.799998228,0.072,1.799998954,0.072,1.799998725,0.072,1.799999221,0.072,1.799998619,0.072,1.79999917,0.072,1.799997869,0.072,1.799999889,0.072,1.799999905,0.072,1.79999993,0.072,1.799999875,0.072,1.799999907,0.072,1.799999897,0.072,1.799999919,0.072,1.799999892,0.072,1.799999918,0.072,1.799999858,0.072,1.799999902,0.072,1.79999991,0.072,1.799999919,0.072,1.799999895,0.072,1.799999908,0.072,1.799999906,0.072,1.799999914,0.072,1.799999902,0.072,1.799999915,0.072,1.799999887
0.108,1.799984548,0.108,1.799988173,0.108,1.799994499,0.108,1.799981329,0.108,1.799989034,0.108,1.799986548,0.108,1.799991908,0.108,1.799985442,0.108,1.799991334,0.108,1.799977638,0.108,1.799995332,0.108,1.799996446,0.108,1.799998343,0.108,1.799994334,0.108,1.799996696,0.108,1.799995947,0.108,1.799997568,0.108,1.799995603,0.108,1.799997401,0.108,1.799993175,0.108,1.799999743,0.108,1.799999794,0.108,1.799999879,0.108,1.799999697,0.108,1.799999804,0.108,1.799999771,0.108,1.799999844,0.108,1.799999755,0.108,1.799999837,0.108,1.799999643,0.108,1.799999839,0.108,1.799999862,0.108,1.799999896,0.108,1.799999819,0.108,1.799999863,0.108,1.799999851,0.108,1.799999881,0.108,1.799999843,0.108,1.799999879,0.108,1.799999796
0.144,1.799952241,0.144,1.79996314,0.144,1.79998251,0.144,1.799942689,0.144,1.799965694,0.144,1.799958231,0.144,1.799974484,0.144,1.799954892,0.144,1.799972739,0.144,1.799931809,0.144,1.799985044,0.144,1.799988596,0.144,1.7999947,0.144,1.799981889,0.144,1.799989387,0.144,1.799987002,0.144,1.799992191,0.144,1.799985902,0.144,1.799991653,0.144,1.799978233,0.144,1.799999267,0.144,1.799999433,0.144,1.799999714,0.144,1.799999118,0.144,1.79999947,0.144,1.799999359,0.144,1.7999996,0.144,1.799999307,0.144,1.799999575,0.144,1.799998944,0.144,1.799999637,0.144,1.799999709,0.144,1.799999825,0.144,1.799999574,0.144,1.79999972,0.144,1.799999676,0.144,1.799999776,0.144,1.799999653,0.144,1.799999767,0.144,1.799999499
0.18,1.799859195,0.18,1.799889941,0.18,1.799945984,0.18,1.799832727,0.18,1.799896962,0.18,1.799876006,0.18,1.799922364,0.18,1.799866511,0.18,1.799917389,0.18,1.799802824,0.18,1.799953036,0.18,1.799963955,0.18,1.799983001,0.18,1.799943446,0.18,1.799966343,0.18,1.799959035,0.18,1.799975092,0.18,1.799955635,0.18,1.799973429,0.18,1.799932387,0.18,1.799997724,0.18,1.79999826,0.18,1.799999177,0.18,1.799997244,0.18,1.799998384,0.18,1.79999802,0.18,1.799998803,0.18,1.799997856,0.18,1.799998721,0.18,1.799996687,0.18,1.799998983,0.18,1.799999213,0.18,1.799999596,0.18,1.799998779,0.18,1.799999258,0.18,1.799999109,0.18,1.799999437,0.18,1.799999037,0.18,1.799999406,0.18,1.799998538
0.216,1.799610675,0.216,1.799690739,0.216,1.799841003,0.216,1.799543185,0.216,1.799708233,0.216,1.799654163,0.216,1.799776275,0.216,1.799629162,0.216,1.799763251,0.216,1.799467499,0.216,1.799858202,0.216,1.799889983,0.216,1.79994661,0.216,1.799830746,0.216,1.799896709,0.216,1.799875577,0.216,1.799922726,0.216,1.799865598,0.216,1.799917864,0.216,1.799799292,0.216,1.799992791,0.216,1.799994495,0.216,1.799997434,0.216,1.799991272,0.216,1.799994889,0.216,1.799993732,0.216,1.799996232,0.216,1.799993209,0.216,1.799995968,0.216,1.799989518,0.216,1.799996867,0.216,1.799997606,0.216,1.799998852,0.216,1.79999621,0.216,1.799997758,0.216,1.799997274,0.216,1.799998338,0.216,1.799997042,0.216,1.799998233,0.216,1.799995439
0.252,1.798999943,0.252,1.799191731,0.252,1.799561361,0.252,1.798841578,0.252,1.799230919,0.252,1.799103402,0.252,1.799398354,0.252,1.799042656,0.252,1.799367406,0.252,1.798664798,0.252,1.799595734,0.252,1.799681678,0.252,1.7998389,0.252,1.799523011,0.252,1.799698896,0.252,1.799642415,0.252,1.799771166,0.252,1.799615095,0.252,1.799758032,0.252,1.799440232,0.252,1.799977397,0.252,1.799982664,0.252,1.79999186,0.252,1.799972744,0.252,1.799983868,0.252,1.799980297,0.252,1.799988067,0.252,1.799978675,0.252,1.799987248,0.252,1.799967393,0.252,1.799990103,0.252,1.799992452,0.252,1.799996445,0.252,1.799988022,0.252,1.799992935,0.252,1.799991395,0.252,1.799994791,0.252,1.799990655,0.252,1.799994452,0.252,1.799985586
0.288,1.79761097,0.288,1.798037626,0.288,1.798876178,0.288,1.797265294,0.288,1.798117291,0.288,1.797839601,0.288,1.798498172,0.288,1.797702259,0.288,1.79843099,0.288,1.796880207,0.288,1.798925729,0.288,1.799139669,0.288,1.799541294,0.288,1.798748635,0.288,1.799178985,0.288,1.79904108,0.288,1.799363955,0.288,1.798971955,0.288,1.799331759,0.288,1.798547834,0.288,1.79993123,0.288,1.799946799,0.288,1.799974467,0.288,1.799917665,0.288,1.799950276,0.288,1.799939768,0.288,1.79996291,0.288,1.79993494,0.288,1.799960475,0.288,1.799902159,0.288,1.799968946,0.288,1.799976233,0.288,1.799988738,0.288,1.799962549,0.288,1.799977693,0.288,1.799972944,0.288,1.799983514,0.288,1.799970633,0.288,1.799982465,0.288,1.799955081
0.324,1.794663732,0.324,1.795550485,0.324,1.797322458,0.324,1.793959849,0.324,1.795697772,0.324,1.795135523,0.324,1.796506484,0.324,1.794844802,0.324,1.796371842,0.324,1.793176936,0.324,1.797346703,0.324,1.797839746,0.324,1.798783108,0.324,1.796946864,0.324,1.797919751,0.324,1.797610594,0.324,1.798356246,0.324,1.797448176,0.324,1.798284749,0.324,1.796493658,0.324,1.799800614,0.324,1.799843778,0.324,1.799922352,0.324,1.799763693,0.324,1.79985305,0.324,1.799824151,0.324,1.799888931,0.324,1.799810633,0.324,1.799882154,0.324,1.799721775,0.324,1.799905138,0.324,1.799926834,0.324,1.799964614,0.324,1.799886352,0.324,1.799930997,0.324,1.799916991,0.324,1.79994862,0.324,1.799910046,0.324,1.799945514,0.324,1.799864502
